Register,Key/Name,Description,Type,Bytes,Scale,Unit,Source,raw_uint16,raw_int16,interpreted_value,Notes
30001,battery_power,Battery power,int16/32,2,1,W,d,65525,-11,-11 W,
30006,ac_power,AC power,int16/32,2,1,W,d,0,0,0 W,
30020,mppt1_voltage,MPPT1 array voltage,uint16,2,0.1,V,d,99,99,9.9 V,
30021,mppt2_voltage,MPPT2 array voltage,uint16,2,0.1,V,d,99,99,9.9 V,
30022,mppt3_voltage,MPPT3 array voltage,uint16,2,0.1,V,d,99,99,9.9 V,
30023,mppt4_voltage,MPPT4 array voltage,uint16,2,0.1,V,d,98,98,9.8 V,
30024,mppt1_current,MPPT1 array current,uint16,2,0.1,A,d,0,0,0.0 A,
30025,mppt2_current,MPPT2 array current,uint16,2,0.1,A,d,0,0,0.0 A,
30026,mppt3_current,MPPT3 array current,uint16,2,0.1,A,d,0,0,0.0 A,
30027,mppt4_current,MPPT4 array current,uint16,2,0.1,A,d,0,0,0.0 A,
30037,mppt1_power,MPPT1 array power,uint16,2,0.1,W,d,0,0,0.0 W,
30038,mppt2_power,MPPT2 array power,uint16,2,0.1,W,d,0,0,0.0 W,
30039,mppt3_power,MPPT3 array power,uint16,2,0.1,W,d,0,0,0.0 W,
30040,mppt4_power,MPPT4 array power,uint16,2,0.1,W,d,0,0,0.0 W,
30100,battery_voltage,Battery voltage,uint16,2,0.01,V,d,5012,5012,50.12 V,
30101,battery_current,Battery current,int16,2,0.1,A,d,0,0,0.0 A,
30200,ems_version,EMS firmware version,uint16,2,1,-,d,147,147,147,Raw value; no direct scale to version string
30202,vms_version,VMS firmware version,uint16,2,-,-,d,115,115,115,
30204,bms_version,BMS firmware version,uint16,2,-,-,d,116,116,116,
30300,wifi_status,WiFi connected (0/1),uint16,2,1,-,d,1,1,1 (connected),
30301,bluetooth_status,Bluetooth connectivity/status,uint16,2,-,-,d,3,3,3,
30302,cloud_status,Cloud connected (0/1),uint16,2,1,-,d,0,0,0 (disconnected),
30303,wifi_signal_strength,WiFi RSSI,uint16,2,-1,dBm,d,50,50,-50 dBm,Scale -1 means negate raw value
